Day,Num,pH7.0V,pH7.5V,pH8.1S,pH8.1V,pH7.0S,pH7.5S
D2,132,7.205559,7.679997,8.100636,7.582103,6.982513,7.451258
D2,133,7.207248,7.700502,8.100696,7.651012,6.969583,7.476411
D2,134,7.201056,7.675241,8.100877,7.675202,6.990671,7.48583
D2,135,7.160151,7.599973,8.100279,7.687967,6.999069,7.496533
D2,136,7.160049,7.637336,8.092149,7.688811,6.998899,7.497203
D2,137,7.16148,7.638226,8.100716,7.693403,6.99906,7.491388
D2,138,7.152553,7.616046,8.100952,7.599078,6.999901,7.495912
D2,139,7.106051,7.553629,8.100696,7.405178,6.997843,7.488129
D2,140,7.106831,7.581759,8.101028,7.498638,6.999812,7.491206
D2,141,7.107108,7.579362,8.100742,7.576849,6.998815,7.497478
D2,142,7.105852,7.569324,8.101065,7.616069,6.998418,7.494817
D2,143,7.063507,7.513824,8.100722,7.380919,6.999667,7.494077
D2,144,7.06356,7.537777,8.101028,7.474114,6.998919,7.488897
D2,145,7.063472,7.538739,8.100726,7.554929,6.998498,7.489152
D2,146,7.056837,7.525059,8.100238,7.507177,6.999256,7.492496
D2,147,7.006254,7.477494,8.091089,7.371663,6.998193,7.495209
D2,148,7.006586,7.501774,8.100732,7.463838,6.998601,7.49679
D2,149,7.007745,7.494815,8.101256,7.513782,7.000941,7.496261
D2,150,7.012502,7.4748,8.100742,7.425704,6.997211,7.492831
D2,151,6.953458,7.435939,8.101061,7.472709,6.998588,7.497
D2,152,6.953766,7.449934,8.090466,7.472969,6.997723,7.497306
D2,153,6.956249,7.443852,8.100726,7.477306,6.997467,7.491758
D2,154,6.967867,7.426005,8.10093,7.488506,6.997938,7.491848
D2,155,6.913476,7.387513,8.101102,7.531217,6.998243,7.491346
D2,156,6.913067,7.385002,8.094765,7.534047,6.999504,7.497384
D2,157,6.91576,7.390527,8.100732,7.530249,6.998457,7.497055
D2,158,6.930077,7.379353,8.101038,7.583162,6.998016,7.488338
D2,159,6.870224,7.343451,8.100718,7.563734,6.998891,7.496003
D2,160,6.870925,7.347657,8.101059,7.576113,6.998499,7.497225
D2,161,6.872134,7.345868,8.100738,7.560835,6.998358,7.494939
D2,162,6.88561,7.333364,8.101028,7.622002,6.999357,7.494093
D2,163,6.820336,7.29211,8.100754,7.627031,6.998759,7.491608
